Activity Date,Activity Name,distance_miles,duration_min,pace_min_per_mile,avg_hr,max_hr,csv_distance_miles,csv_duration_min,csv_pace,csv_avg_hr,csv_max_hr,csv_elevation_gain,csv_calories,fit_distance_miles,fit_duration_min,fit_pace,fit_avg_hr,fit_max_hr,fit_min_hr,fit_zone1_pct,fit_zone2_pct,fit_zone3_pct,fit_zone4_pct,fit_zone5_pct,fit_elevation_gain_m,fit_elevation_loss_m,fit_avg_cadence,fit_pace_variability,is_long_run,is_tempo,is_speed_work,is_easy,is_marathon,is_bonked
"Jan 31, 2026, 3:46:28 AM",ASICS Social Shakeout,2.57,24.25,9.45,140.9,161,2.57,24.25,9.44,141.0,161.0,5.0,247.0,2.57,24.25,9.45,140.9,161,93,1.2,13.2,65.9,19.7,0.0,32.8,36.6,171.4,,False,False,False,True,False,False
"Jan 31, 2026, 2:08:39 AM",Morning Run,9.89,80.48,8.14,158.9,168,9.89,78.63,7.95,159.0,168.0,42.0,890.0,9.89,80.48,8.14,158.9,168,88,0.4,0.8,12.0,86.8,0.0,136.4,140.8,175.8,,False,False,False,False,False,False
"Jan 29, 2026, 7:48:06 AM",Lunch Run,7.46,60.02,8.05,154.6,175,7.58,60.02,7.92,155.0,175.0,0.0,640.0,7.46,60.02,8.05,154.6,175,82,0.4,9.6,14.0,67.3,8.6,0,0,173.5,,False,False,False,False,False,False
"Jan 27, 2026, 7:53:16 AM",Lunch Run,6.45,60.47,9.37,155.8,177,7.15,60.47,8.46,156.0,177.0,0.0,645.0,6.45,60.47,9.37,155.8,177,78,0.7,1.5,35.6,43.6,18.5,0,0,170.3,,False,False,False,True,False,False
"Jan 26, 2026, 8:00:52 AM",EZ 45,5.47,44.82,8.19,139.1,150,4.97,44.82,9.02,139.0,150.0,0.0,427.0,5.47,44.82,8.19,139.1,150,64,1.1,19.1,79.7,0.0,0.0,0,0,174.7,,False,False,False,False,False,False
"Jan 24, 2026, 2:35:54 AM",Med long run +Hills,10.41,96.02,9.22,150.9,170,10.41,90.15,8.66,151.0,170.0,194.0,958.0,10.41,96.02,9.22,150.9,170,92,0.3,2.5,48.9,48.3,0.0,241.2,247.8,175.4,,False,False,False,True,False,False
"Jan 22, 2026, 6:27:19 AM",Morning Run,8.33,63.12,7.58,156.9,172,8.11,63.12,7.78,157.0,172.0,0.0,691.0,8.33,63.12,7.58,156.9,172,79,0.6,12.6,4.7,81.0,1.2,0,0,176.2,,False,True,False,False,False,False
"Jan 20, 2026, 1:39:20 AM",1-2-1-2-1,7.41,70.12,9.47,153.0,179,7.41,67.48,9.11,156.0,179.0,27.0,710.0,7.41,70.12,9.47,153.0,179,92,4.8,8.4,29.7,26.9,30.1,89.0,85.8,177.1,,False,False,False,True,False,False
"Jan 19, 2026, 7:22:04 AM",Lunch Run,0.62,10.45,16.84,134.7,168,0.62,10.45,16.85,134.0,168.0,0.0,91.0,0.62,10.45,16.84,134.7,168,61,20.7,22.2,27.5,29.6,0.0,0,0,161.2,,False,False,False,True,False,False
"Jan 19, 2026, 2:33:29 AM",Morning Run,3.11,27.98,8.99,156.4,176,3.11,27.27,8.77,156.0,176.0,60.0,307.0,3.11,27.98,8.99,156.4,176,109,0.5,0.5,44.0,40.1,14.9,77.2,79.2,172.1,,False,False,False,False,False,False
"Jan 19, 2026, 2:15:04 AM",Morning Run,1.12,10.17,9.1,140.9,155,1.12,10.17,9.08,141.0,155.0,16.0,104.0,1.12,10.17,9.1,140.9,155,69,6.1,7.5,79.2,7.2,0.0,26.6,13.8,172.4,,False,False,False,True,False,False
"Jan 17, 2026, 2:23:43 AM",Morning Run,8.18,75.85,9.27,150.3,159,8.18,70.05,8.56,150.0,159.0,24.0,743.0,8.18,75.85,9.27,150.3,159,97,0.5,4.0,35.3,60.2,0.0,171.8,181.2,176.5,,False,False,False,True,False,False
"Jan 15, 2026, 6:29:03 AM",Morning Run,4.99,50.9,10.21,160.1,177,6.26,50.9,8.13,160.0,177.0,0.0,559.0,4.99,50.9,10.21,160.1,177,92,0.5,5.7,13.0,60.5,20.3,0,0,172.1,,False,False,False,True,False,False
"Jan 14, 2026, 2:19:19 AM",Morning Run,1.23,22.58,18.37,138.5,174,1.23,11.5,9.35,139.0,174.0,7.0,111.0,1.23,22.58,18.37,138.5,174,70,11.7,10.4,52.7,20.3,4.9,20.6,18.8,178.8,,False,False,False,True,False,False
"Jan 13, 2026, 8:21:39 AM",Lunch Run,3.93,35.05,8.93,133.2,146,3.42,35.05,10.25,133.0,146.0,0.0,307.0,3.93,35.05,8.93,133.2,146,93,1.2,44.7,54.1,0.0,0.0,0,0,170.0,,False,False,False,False,False,False
